name,rating,year,poster,country,notes
Birdman,6.7,1967–1987,https://m.media-amazon.com/images/M/MV5BZTk3NjA1M2EtYTQ2Ny00ZTlmLThjMTQtYzhiY2I1ODM0MzdlXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,United States,
Exam,6.8,2009,https://m.media-amazon.com/images/M/MV5BNDg2NzM2NzIwNF5BMl5BanBnXkFtZTcwODE2ODc1Mg@@._V1_SX300.jpg,United Kingdom,
Gamer,5.7,2009,https://m.media-amazon.com/images/M/MV5BMTkzMDU0NTg3MF5BMl5BanBnXkFtZTcwNzU1MjU1Mg@@._V1_SX300.jpg,United States,
Batman,7.5,1989,https://m.media-amazon.com/images/M/MV5BZDNjOGNhN2UtNmNhMC00YjU4LWEzMmUtNzRkM2RjN2RiMjc5XkEyXkFqcGdeQXVyMTU0OTM5ODc1._V1_SX300.jpg,"United States, United Kingdom",
Vortex,7.4,2021,https://m.media-amazon.com/images/M/MV5BNjMxYTFmNTctNDgyYi00NzQwLTk1NTItMmVkYjk5Yjc1NmI2XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"France, Belgium, Monaco",
Tenet,7.3,2020,https://m.media-amazon.com/images/M/MV5BMzU3YWYwNTQtZTdiMC00NjY5LTlmMTMtZDFlYTEyODBjMTk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"United States, United Kingdom",
No Time to Die,7.3,2021,https://m.media-amazon.com/images/M/MV5BYWQ2NzQ1NjktMzNkNS00MGY1LTgwMmMtYTllYTI5YzNmMmE0XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"United Kingdom, United States",
Thor,7,2011,https://m.media-amazon.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,United States,The god movie
The Boss Baby,6.3,2017,https://m.media-amazon.com/images/M/MV5BMTg5MzUxNzgxNV5BMl5BanBnXkFtZTgwMTM2NzQ3MjI@._V1_SX300.jpg,United States,Baby is the boss
Missing,7.1,2023,https://m.media-amazon.com/images/M/MV5BNWExMzg3NjAtZmZmYy00MWE3LWJkNjEtOTYzYTZjYTZkMjZiXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,United States,
The Gift,7,2015,https://m.media-amazon.com/images/M/MV5BNGFmY2UyMmYtNDY1Yi00NTIwLTk1ZDktOGM2OTQwZDk0NjU5XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,"United States, Australia, China",A nice one to watch too
Shark,7.1,2006–2008,https://m.media-amazon.com/images/M/MV5BOTc1MjI3MjItN2M4ZS00NDdjLThlODgtNDJjOTBkMzY0ZTNhXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,United States,
Pain & Gain,6.4,2013,https://m.media-amazon.com/images/M/MV5BMTU0NDE5NTU0OV5BMl5BanBnXkFtZTcwMzI1OTMzOQ@@._V1_SX300.jpg,United States,Pain and gain
Ledge,N/A,2014,https://m.media-amazon.com/images/M/MV5BNjc2ZDkxODYtOGFmMi00Y2YxLWE5NzMtYjk2ODc5YmQxY2EzXkEyXkFqcGdeQXVyMjYxMzY2NDk@._V1_SX300.jpg,USA,Man on the ledge
Water,7.7,2005,https://m.media-amazon.com/images/M/MV5BZmQ4ODNjNjctYzkxYS00N2MzLWE0ZTctOGVkYzM2NjRmZDMyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"Canada, India",Water is life
Paradise,5.0,2013,https://m.media-amazon.com/images/M/MV5BMjA4Njk4NDc4NV5BMl5BanBnXkFtZTcwNDkzMDg5OQ@@._V1_SX300.jpg,United States,Paradise is bliss
